,이름,상호명,지점명,상권업종대분류명,상권업종중분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,도로명주소,구우편번호,신우편번호,경도,위도
2159,피노키오치킨호프 ,피노키오치킨호프,,음식,유흥주점,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희동 519-96,서울특별시 서대문구 홍제천로2길,서울특별시 서대문구 홍제천로2길 140,120832,3700.0,126.924264047504,37.5731651691859
2160,의원상 ,의원상,,음식,중식,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 대현동 34-48,서울특별시 서대문구 이화여대길,서울특별시 서대문구 이화여대길 72-5,120808,3765.0,126.944359233533,37.5594435504267
2161,미스터 ,미스터,,음식,유흥주점,서울특별시,서대문구,홍은1동,홍은동,서울특별시 서대문구 홍은동 9-107,서울특별시 서대문구 홍은중앙로,서울특별시 서대문구 홍은중앙로 94,120841,3605.0,126.947909669145,37.5991208846378
2162,미금동관아숍오리전문 ,미금동관아숍오리전문,,음식,한식,서울특별시,서대문구,충현동,미근동,서울특별시 서대문구 미근동 172,서울특별시 서대문구 통일로,서울특별시 서대문구 통일로 107-6,120020,3738.0,126.967195540854,37.5646823507469
2163,미동면옥 ,미동면옥,,음식,한식,서울특별시,서대문구,충현동,충정로3가,서울특별시 서대문구 충정로3가 189-8,서울특별시 서대문구 충정로7길,서울특별시 서대문구 충정로7길 9,120839,3737.0,126.964137026768,37.5632138889078
2164,육회by유신 ,육회by유신,,음식,한식,서울특별시,서대문구,홍제3동,홍제동,서울특별시 서대문구 홍제동 266-235,서울특별시 서대문구 세검정로,서울특별시 서대문구 세검정로 49,120857,3623.0,126.946474039589,37.5925125035415
2165,걸작떡볶이 ,걸작떡볶이,,음식,분식,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 창천동 97-50,서울특별시 서대문구 성산로,서울특별시 서대문구 성산로 406,120835,3727.0,126.932473927435,37.5610937069336
2166,BBQ치킨 가재울로점,BBQ치킨,가재울로점,음식,닭/오리요리,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 남가좌동 205-7,서울특별시 서대문구 가재울로,서울특별시 서대문구 가재울로 65,120122,3710.0,126.92091975571,37.5758467643027
2167,참맛나리아 ,참맛나리아,,음식,분식,서울특별시,서대문구,충현동,충정로3가,서울특별시 서대문구 충정로3가 3-167,서울특별시 서대문구 경기대로9길,서울특별시 서대문구 경기대로9길 87,120837,3752.0,126.959411702223,37.5644067591294
2168,목포식당 ,목포식당,,음식,한식,서울특별시,서대문구,남가좌1동,남가좌동,서울특별시 서대문구 남가좌동 289-51,서울특별시 서대문구 수색로4나길,서울특별시 서대문구 수색로4나길 17,120120,3712.0,126.91442092469,37.571209916312
2169,숯불바베큐 ,숯불바베큐,,음식,양식,서울특별시,서대문구,천연동,영천동,서울특별시 서대문구 영천동 69-9,서울특별시 서대문구 성산로,서울특별시 서대문구 성산로 700,120070,3734.0,126.959608978828,37.5713825464746
2170,롯데리아 서대문역점,롯데리아,서대문역점,음식,패스트푸드,서울특별시,서대문구,충현동,충정로2가,서울특별시 서대문구 충정로2가 8-2,서울특별시 서대문구 통일로,서울특별시 서대문구 통일로 127,120012,3735.0,126.965979651566,37.5658430604316
2171,추닭집 ,추닭집,,음식,유흥주점,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 남가좌동 78-53,서울특별시 서대문구 가재울로4길,서울특별시 서대문구 가재울로4길 3,120801,3694.0,126.922275187342,37.5744895722918
